subsystem,reaction
FACOAL140,FACOAL140
FACOAL160,FACOAL160
FACOAL170,FACOAL170
FACOAL181,FACOAL181
FACOAL1821,FACOAL1821
FACOAL1822,FACOAL1822
FACOAL1831,FACOAL1831
FACOAL184,FACOAL184
FACOAL203,FACOAL203
FACOAL204,FACOAL204
FACOAL2042,FACOAL2042
FACOAL205,FACOAL205
FACOAL2251,FACOAL2251
FACOAL2252,FACOAL2252
FACOAL240_1,FACOAL240_1
FACOAL241,FACOAL241
FACOAL245_1,FACOAL245_1
FACOAL40im,FACOAL40im
FACOAL80,FACOAL80
FADH2tru,FADH2tru
FADH2tx,FADH2tx
FADtru,FADtru
FADtx,FADtx
FAEL184,FAEL184
FAEL204,FAEL204
FAEL205,FAEL205
FAH1,FAH1
FAH2,FAH2
FALDH,FALDH
FALDtly,FALDtly
FALDtm,FALDtm
FAOXC11,FAOXC11
FAOXC16080m,FAOXC16080m
FAOXC16080x,FAOXC16080x
FAOXC180x,FAOXC180x
FAOXC1811601m,FAOXC1811601m
FAOXC1811603m,FAOXC1811603m
FAOXC182806m,FAOXC182806m
FAOXC18280m,FAOXC18280m
FAOXC183806m,FAOXC183806m
FAOXC18480m,FAOXC18480m
FAOXC200180x,FAOXC200180x
FAOXC2031836m,FAOXC2031836m
FAOXC204,FAOXC204
FAOXC2051843m,FAOXC2051843m
FAOXC2051843x,FAOXC2051843x
FAOXC2251836m,FAOXC2251836m
FAOXC2252053m,FAOXC2252053m
FAOXC2252053x,FAOXC2252053x
GCHOLAte,GCHOLAte
FAOXC226205m,FAOXC226205m
FAOXC2442246x,FAOXC2442246x
FAOXC2452253x,FAOXC2452253x
FAOXC2452256x,FAOXC2452256x
FAOXC246226x,FAOXC246226x
FAOXC260240x_1,FAOXC260240x_1
FAS160COA,FAS160COA
FATP1t,FATP1t
FATP2t,FATP2t
FATP3t,FATP3t
FATP7t,FATP7t
FATP8t,FATP8t
FBA5,FBA5
FDH,FDH
FE2t,FE2t
FE3R2e_1,FE3R2e_1
FK,FK
